mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,thr,class,analytic
moat,4.0,6.0,8.0,0.0,2.0,-0.6,3000.0,7.0,0.0003614793959564778,0.06840347093000836,0.053474067194170714,0.6848088435911803,0.2963144892637926,0.9997578556382548,0.453125,0.013427734375,5.429277430092789e-05,0.0004257155232653434,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.0,-0.8,3000.0,7.0,-4.3403807650696595e-11,0.01821602501592331,0.014378993160677374,0.49265393609409647,0.1678241619330906,0.9999999999999903,0.515625,0.00390625,3.029199687766499e-13,1.6227428198197e-05,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.1,-0.2,3000.0,7.0,-0.00017601342716850742,0.5529947332103842,0.42117120022306975,1.3827525788405144,-0.06756007584963032,0.996074095714613,0.53125,0.08740234375,0.001449782472789392,0.006333232183451583,0.44999999999999996,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,2.1,-0.4,3000.0,7.0,-6.849237681161944e-05,0.4515179282894328,0.34890882974434,1.2074415833303769,-0.09353688840696377,0.9994507398758354,0.53125,0.072265625,2.21803629552072e-05,0.0029934100884075193,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.1,-0.6,3000.0,7.0,-0.0005199382128769405,0.16520335476173123,0.1286624474843503,0.955740084266874,0.21907576361174846,0.9996914528004915,0.453125,0.02978515625,7.865297108300217e-05,0.0003899970569748454,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.1,-0.8,3000.0,7.0,-2.4462392432140397e-05,0.08161651562173826,0.06379548238692447,0.8099000888459631,0.29749686675366777,0.9998444296595993,0.4375,0.01611328125,1.4972242701453546e-05,0.0005288522324084925,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.2,-0.2,3000.0,7.0,-5.509198682629438e-05,0.7035208866512993,0.5288695847856242,1.5546381051482483,-0.05015371896608365,0.9997317130148304,0.5,0.099365234375,0.00026854773489541856,0.010822511681466014,0.4663914315444745,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,2.2,-0.4,3000.0,7.0,-0.0001862372700213142,0.6021458564996385,0.4617941871671412,1.468120025833181,-0.07645645251247078,0.9999349159328609,0.53125,0.08984375,0.00020741113264878246,0.009256712295696691,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.2,-0.6,3000.0,7.0,-7.03441455552806e-05,0.41973431011419027,0.3271064036408271,1.4289509807753311,-0.029948994488475388,0.999464332902255,0.484375,0.060302734375,0.00011037546355207455,0.0017839851069573701,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.2,-0.8,3000.0,7.0,-0.00010797551922579143,0.1275834194596567,0.09913253292626739,1.0748186980184329,0.3244686156543211,0.9918174955720951,0.421875,0.021484375,3.2863082070871184e-05,0.0010315289712918181,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.4,-0.2,3000.0,7.0,0.00031845682702629754,1.0129018283806486,0.7487134272542483,2.1135922351774337,-0.05139404067813466,0.9901864173887872,0.46875,0.119873046875,0.04424493997509028,0.02271215986152021,0.63407767055323,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,2.4,-0.4,3000.0,7.0,-0.00013035271514572777,0.9341549597333072,0.7007772237631821,1.9986702194700465,-0.04184373312848989,0.9997782439623188,0.46875,0.111328125,0.00026629940522184523,0.012325126923656391,0.5996010658410139,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.4,-0.6,3000.0,7.0,0.0009928559831856906,0.8600204689292087,0.6546789318427177,1.9115207455614018,-0.06298820265930768,0.9952021955096558,0.5,0.1044921875,7.193327594906896e-05,0.011815640250964021,0.5734562236684205,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.4,-0.8,3000.0,7.0,-0.00016919641603852002,0.5759605872912147,0.4455460412246992,1.9284748381227916,-0.015402746852712482,0.9976532036302845,0.46875,0.067138671875,5.098682926881873e-05,0.0025399445698583807,0.5785424514368375,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.6,-0.2,3000.0,7.0,0.0007293308937364027,1.3512147279527065,0.9853164691091038,2.810771512105546,-0.045518070424363066,0.9948227446564466,0.46875,0.137939453125,0.0005421156607029604,0.08691040170228073,0.8432314536316637,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,2.6,-0.4,3000.0,7.0,0.0013218736357204477,1.2650257767927815,0.9167484870746736,2.7698926694645896,-0.04347613447699054,0.9841154785866424,0.484375,0.1328125,0.16056423710265771,0.04772827531121447,0.8309678008393768,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,2.6,-0.6,3000.0,7.0,0.00014263934445470184,1.1705021616131972,0.8763361700528118,2.489588231198101,-0.028968065507948712,0.9996091848574963,0.46875,0.1201171875,0.002341455339946106,0.016803831634129334,0.7468764693594303,near-critical,bistable
moat,4.0,6.0,8.0,0.0,2.6,-0.8,3000.0,7.0,-0.000812033635617129,1.0887859605307821,0.8250919683083194,2.3513641200324575,-0.02943390915449449,0.9999822868511784,0.453125,0.109130859375,2.907693645253655e-05,0.016991364711041658,0.7054092360097373,near-critical,bistable
moat,4.0,6.0,8.0,0.0,3.0,-0.2,3000.0,7.0,0.0017465323332477598,2.1121140118467565,1.4956741566036764,4.071148564255683,-0.03574249493056384,0.9883592011367944,0.515625,0.18359375,0.2350434628229048,0.13388215802170814,1.2213445692767049,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,3.0,-0.4,3000.0,7.0,0.003306295011854539,2.0306206717777107,1.4659877907685515,3.744841546955554,-0.02924476855088159,0.9876775840004889,0.515625,0.166259765625,0.29903417526317005,0.029986129025107257,1.123452464086666,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,3.0,-0.6,3000.0,7.0,0.0015456108271329034,1.9789427872668783,1.4335077018622595,3.82758950026825,-0.02845956105293066,0.9889079285969393,0.5,0.166015625,0.03803716698646111,0.038905577532059775,1.148276850080475,chaotic/expanding,bistable
moat,4.0,6.0,8.0,0.0,3.0,-0.8,3000.0,7.0,0.0012483064648367674,1.878932198104494,1.3761953158912275,3.7289594896481653,-0.03516665007163641,0.997236040976315,0.5,0.154052734375,0.00044908947815632704,0.0320390275494797,1.1186878468944494,chaotic/expanding,bistable
moat,4.0,6.0,8.0,0.0,3.5,-0.2,3000.0,7.0,0.0021084539641359084,3.2701743283058087,2.2474418583130737,6.778885058192375,-0.029437528207788496,0.966639257468294,0.46875,0.266845703125,2.33705313479965,0.3984854300645509,2.0336655174577123,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,3.5,-0.4,3000.0,7.0,0.0034734157027385337,3.143129414952798,2.159662904090054,5.316338574851749,-0.02352861394894943,0.983166323536711,0.5,0.2607421875,0.040072436413949655,0.08896648339815602,1.5949015724555247,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,3.5,-0.6,3000.0,7.0,0.005371746317582506,3.0459135835387077,2.114570399176532,5.235979537124986,-0.04859264060775192,0.9815522630680714,0.53125,0.23974609375,1.5679285134247416,0.362214142367196,1.5707938611374956,chaotic/expanding,bistable
moat,4.0,6.0,8.0,0.0,3.5,-0.8,3000.0,7.0,0.0014172412159460124,2.9813376037527894,2.1085323926367416,5.772214783635781,-0.029720835125060463,0.9825238418450619,0.484375,0.22412109375,1.2453055670837843,0.11697018549762658,1.7316644350907342,chaotic/expanding,bistable
moat,4.0,6.0,8.0,0.0,4.0,-0.2,3000.0,7.0,0.0009909299714386949,4.306111278886206,2.907219966564104,7.271366677998162,-0.060859916864973884,0.9894605967088128,0.484375,0.33837890625,0.034361266435360124,0.34229160621953825,2.1814100033994483,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,4.0,-0.4,3000.0,7.0,0.0033537336933914053,4.246952828308474,2.891623282705214,6.931014153398475,-0.004563460412657826,0.983640499707149,0.46875,0.32470703125,3.702464578858426,0.24786354391311413,2.079304246019542,chaotic/expanding,off-unstable
moat,4.0,6.0,8.0,0.0,4.0,-0.6,3000.0,7.0,-0.0004677989128590535,4.211316508839768,2.8517595267692433,6.59718431054306,-0.02612463964208096,0.9837208372853626,0.5,0.323486328125,0.0050396445793327235,0.3575110277672673,1.979155293162918,near-critical,off-unstable
